city,Temperature (°C),Humidity (%),Weather Condition
Atraulia,21.42,27,clear sky
Bhiwadi,20.74,18,clear sky
Ullal,27.53,78,few clouds
Tuni,22.69,86,clear sky
Rāmgarh,19.98,86,broken clouds
Quepem,23.11,66,clear sky
Puducherry,27.35,78,clear sky
Paravūr Tekkumbhāgam,26.53,83,few clouds
North Lakhimpur,20.56,59,overcast clouds
Meerut,19.73,17,clear sky
Medak,26.02,56,overcast clouds
Lānja,21.52,65,clear sky
Kumbhrāj,23.65,20,clear sky
Kūdligi,27.37,43,broken clouds
Hosanagara,20.82,83,clear sky
Dūdhi,20.7,79,broken clouds
Chandla,24.19,18,clear sky
Bhawānipatna,25.3,35,overcast clouds
Bichhiwara,25.15,20,clear sky
Batāla,15.62,33,clear sky
Baikunthpur,20.72,71,clear sky
Alangāyam,21.51,89,clear sky
Ālampur,27.02,59,few clouds
Sankarpur,21.97,68,broken clouds
State of Uttarakhand,10.72,43,clear sky
Vengavasal,28.3,84,few clouds
Dasnapur,28.08,42,scattered clouds
Yerandwane,22.89,39,clear sky
Tāramangalam,26.18,70,clear sky
Raisen,23.42,21,clear sky
Raghunathpur,20.86,81,broken clouds
Pāli,24.7,17,clear sky
Māndal,26.42,24,clear sky
Maindargi,30.0,20,few clouds
Lachhmangarh Sīkar,20.94,17,clear sky
Kheradi,25.97,20,clear sky
Jhābua,25.33,21,clear sky
Jānsath,17.49,19,clear sky
Holalkere,24.49,65,clear sky
Gūdūr,24.11,70,clear sky
Derā Nānak,15.74,35,clear sky
Cuddalore,27.67,78,clear sky
Chicolna,28.0,51,clear sky
Charkhāri,24.11,18,clear sky
Bakāni,24.76,20,clear sky
Alagāpuram,25.24,82,clear sky
Bahula,21.09,80,broken clouds
Wāngjing,14.53,89,overcast clouds
Tori-Fatehpur,24.09,18,clear sky
Sonāri,22.37,45,overcast clouds
Sirūr,26.16,31,overcast clouds
Sarauli,19.35,16,clear sky
Pallikondai,23.68,87,clear sky
Pākāla,22.38,93,clear sky
Nautanwa,19.82,26,clear sky
Kurduvādi,27.85,26,clear sky
Kumbakonam,25.59,85,scattered clouds
Barhiya,20.89,74,broken clouds
Dosuwāda,24.31,64,broken clouds
West Bengal,21.17,73,broken clouds
Tirodi,25.62,38,broken clouds
Sirumugai,26.38,74,few clouds
Rabkavi,25.67,32,clear sky
Phirangipuram,24.48,82,clear sky
Peranamallūr,24.8,85,clear sky
Nainwa,23.36,20,clear sky
Khambhāliya,23.92,78,clear sky
Hirānagar,17.46,38,clear sky
Dongargarh,23.55,63,scattered clouds
Chātakonda,24.99,72,clear sky
Belanganj,22.8,15,broken clouds
Ajnāla,17.98,72,mist
Anna Nagar,28.39,82,few clouds
Sarka Ghāt,11.21,46,clear sky
Sānkrāil,22.01,59,scattered clouds
Nargund,26.3,32,clear sky
Nakodar,16.33,28,clear sky
Manor,23.74,64,clear sky
Kuchāman,19.95,19,clear sky
Kohima,14.21,79,overcast clouds
Kherālu,24.95,21,clear sky
Katangi,22.25,28,clear sky
Jāwad,22.11,24,scattered clouds
Gorūr,21.84,78,few clouds
Gangānagar,19.49,23,clear sky
Dalkola,21.02,78,overcast clouds
Union Territory of Chandigarh,19.23,22,clear sky
Bhīta,23.2,45,clear sky
Ariyalūr,26.08,88,clear sky
Pānchla,22.82,62,scattered clouds
Murudeshwara,26.77,72,clear sky
Uklāna,18.41,20,clear sky
Udhampur,13.33,47,clear sky
Srīmushnam,25.97,83,clear sky
Siruguppa,28.68,40,clear sky
Shrīgonda,26.16,30,scattered clouds
Ratangarh,21.68,23,scattered clouds
Poonamalle,28.35,85,few clouds
Jaisalmer,26.89,15,clear sky
Gua,19.83,86,overcast clouds
Dhanwār,19.84,88,overcast clouds
Chhoti Sādri,22.37,24,clear sky
Bilariāganj,20.53,61,clear sky
Āsind,22.6,19,clear sky
Turaiyūr,25.45,82,clear sky
Thiruvidaimaruthur,25.81,85,scattered clouds
Tinsukia,21.77,51,overcast clouds
Tijāra,21.29,17,clear sky
Sanguem,22.83,67,clear sky
Rishīkesh,18.38,36,clear sky
Palwal,21.21,18,clear sky
Pālakkodu,20.95,79,clear sky
State of Kerala,25.82,95,broken clouds
Kendrāparha,23.2,92,clear sky
Kalakkādu,25.77,83,overcast clouds
Jagannāthpur,20.56,84,overcast clouds
Dharmapuri,24.13,76,clear sky
Botād,27.24,23,clear sky
Bāruipur,23.6,59,clear sky
Bandora,27.51,51,clear sky
Ayyampettāi,25.54,90,clear sky
Thoubāl,14.81,87,overcast clouds
Tālgrām,22.17,14,clear sky
Sirsi,19.27,17,clear sky
Piro,20.2,82,clear sky
Pāvugada,26.74,48,clear sky
Neturhāt,14.97,91,few clouds
Jharsuguda,22.73,67,overcast clouds
Jamkhandi,26.75,29,clear sky
Hindaun,22.98,16,scattered clouds
Dirba,17.45,23,clear sky
Devgarh,22.24,18,clear sky
Jauriān,17.24,35,clear sky
Perumbavoor,25.98,89,mist
Siddāpur,21.38,72,few clouds
Sandūr,29.05,36,overcast clouds
Sālūr,23.17,69,scattered clouds
Pindwāra,23.49,22,clear sky
Naroda,26.98,29,smoke
Kolāras,23.34,20,clear sky
Kīratpur,18.07,20,clear sky
Khajuraho Group of Monuments,24.01,19,clear sky
Kailāras,22.81,20,scattered clouds
Dibrugarh,17.03,100,mist
Dahegām,26.87,24,clear sky
Bhogpur,16.21,32,clear sky
Barkot,8.48,55,clear sky
Baloda,21.69,62,clear sky
Baikunthpur,22.41,53,clear sky
Gho Brāhmanān de,16.74,39,clear sky
Sivagiri,26.27,74,clear sky
Sīra,27.52,42,few clouds
Rājūra,28.2,51,broken clouds
Morār,22.32,20,clear sky
Kumhāri,24.8,57,broken clouds
Koratagere,24.41,56,clear sky
Jalālābād,21.0,13,clear sky
Jaipur,19.4,84,broken clouds
Gumia,20.55,86,light rain
Goshāīnganj,20.03,16,clear sky
Domariāganj,21.77,16,clear sky
Dergaon,21.56,58,overcast clouds
Chāpar,20.49,81,overcast clouds
Bhālki,29.17,27,scattered clouds
Adirampattinam,27.71,78,few clouds
Anekal,22.77,78,clear sky
Amguri,23.58,45,overcast clouds
Amarpur,22.2,65,overcast clouds
Alandi,23.06,39,clear sky
Amtala,23.74,58,few clouds
Bālāpur,24.39,64,broken clouds
Kotkapura,16.08,25,clear sky
Vānsada,23.71,46,clear sky
Sūrandai,26.57,78,scattered clouds
Soron,20.67,15,scattered clouds
Shergarh,18.62,17,clear sky
Satwās,24.91,20,clear sky
Qādiān,15.9,33,clear sky
Union Territory of Puducherry,27.35,78,clear sky
